,drug_name
4908,Dextromethorphan / pseudoephedrine
4909,Dextromethorphan / pyrilamine
4910,Dextromethorphan / quinidine
4911,Dextrose
4912,Dextrose 2.5% and 0.45% SodiumChloride
4913,Dextrose 3.75% and 0.225% Sodium Chloride
4914,Dextrose 4% and 0.18% Sodium Chloride
4915,Dextrose 5% and Plasma-Lyte 148
4916,Dextrose 5% in 50% Hartmanns
4917,Dextrose 5% in Lactated Ringer's Injection
4918,Dextrose and Ringer's
4919,Dextrostat
4920,Dexycu
4921,DG Health Pain Reliever
4922,DHC Plus
4923,DHEA
4924,Dhivy
4925,DHS Salicylic Acid 3%
4926,DHS Tar Shampoo
4927,DHS Zinc
4928,DHT
4929,DHT Intensol
4930,Di-Bromm
4931,Di-Dak-Sol
4932,Di-Gel
4933,Di-Gel Lemon
4934,Di-Gel Mint
4935,Di-Gon II
4936,Di-Phen
4937,Di-Spaz
4938,Diab
4939,Diab Gel
4940,Diabet-X Daily Prevention Therapy
4941,DiaBeta
4942,Diabetic Expectorant
4943,Diabetic Tuss
4944,Diabetic Tuss DM
4945,Diabetic Tussin C
4946,Diabetic Tussin Chest Congestion
4947,Diabetic Tussin Cough and Chest Congestion DM
4948,Diabetic Tussin Mucus Relief
4949,Diabetic Tussin Night Time Cold & Flu
4950,Diabetic Tussin Night Time Formula
4951,Diabinese
4952,Diacetazone
4953,Diacomit
4954,Dialose
4955,Dialume
4956,Dialyte
4957,Dialyvite
4958,Dialyvite 3000
4959,Dialyvite 5000
4960,Dialyvite 800
4961,Dialyvite 800 Ultra D
4962,Dialyvite 800 with Zinc
4963,Dialyvite Omega-3 Concentrate
4964,Dialyvite Rx
4965,Dialyvite Supreme D
4966,Dialyvite with Zinc Rx
4967,Diamode
4968,Diamox
4969,Diamox Sequels
4970,Dianeal Low Calcium with 1.5% Dextrose
4971,Dianeal Low Calcium with 2.5% Dextrose
4972,Dianeal Low Calcium with 3.5% Dextrose
4973,Dianeal Low Calcium with 4.25% Dextrose
4974,Dianeal PD-1 with 1.5% Dextrose
4975,Dianeal PD-1 with 2.5% Dextrose
4976,Dianeal PD-1 with 3.5% Dextrose
4977,Dianeal PD-1 with 4.25% Dextrose
4978,Dianeal PD-2 with 1.5% Dextrose
4979,Dianeal PD-2 with 2.5% Dextrose
4980,Dianeal PD-2 with 3.5% Dextrose
4981,Dianeal PD-2 with 4.25% Dextrose
4982,Dianeal PD-4
4983,Diaparene
4984,Diaper Guard
4985,Diaper Rash Cream
4986,Diaper Rash Ointment
4987,Diaper Relief
4988,Diaqua
4989,Diaqua-2
4990,Diar-Aid
4991,Diarrest
4992,Diasorb
4993,Diastat
4994,Diastat AcuDial
4995,Diastat Pediatric
4996,Diatrizoate
4997,Diatrizoate / iodipamide
4998,Diatx
4999,Diatx Fe
5000,Diatx Zn
5001,Diavite Plus
5002,Diazepam
5003,Diazepam Intensol
5004,Diazoxide
5005,Dibent
5006,Dibenzyline
5007,Dibucaine topical
5008,Dical Captabs
5009,Dical-D
5010,Dicalphos plus D
5011,Dicarbosil
5012,Dicel
5013,Dicel DM
5014,Dichlorotetrafluorethane / ethyl chloride topical
5015,Dichlorphenamide
5016,Diclegis
5017,Diclo Gel with Xrylix
5018,Diclofenac
5019,Diclofenac ophthalmic
5020,Diclofenac topical
5021,Diclofenac / fluorouracil topical
5022,Diclofenac / menthol topical
5023,Diclofenac / misoprostol
5024,Diclofex DC
5025,Dicloheal-60
5026,DicloStream
5027,Diclotral Pak
5028,Dicloxacillin
5029,Diclozor
5030,Dicopanol
5031,Dicyclocot
5032,Dicyclomine
5033,Didanosine
5034,Didrex
5035,Didronel
5036,Didronel IV
5037,Dienestrol topical
5038,Dienogest / estradiol
5039,Diethylpropion
5040,Difelikefalin
5041,Differin
5042,Dificid
5043,Difil G
5044,Difil-G Forte
5045,Diflorasone topical
5046,Diflucan
5047,Diflunisal
5048,Difluprednate ophthalmic
5049,Digex NF
5050,Digibar 190
5051,Digibind
5052,DigiFab
5053,Digipepsin
5054,Digitek
5055,Digox
5056,Digoxin
5057,Digoxin immune fab
5058,Dihistine
5059,Dihistine DH
5060,Dihistine Expectorant
5061,Dihistine Expectorant with Codeine
5062,Dihydro-CP
5063,DiHydro-PE
5064,Dihydrocodeine / phenylephrine
5065,Dihydroergotamine
5066,Dihydrotachysterol
5067,Dilacor XR
5068,Dilantin
5069,Dilatrate-SR
5070,Dilaudid
5071,Dilaudid Cough Syrup
5072,Dilaudid-HP
5073,Dilex-G
5074,Dilex-G 200
5075,Dilex-G 400
5076,Dilocaine
5077,Dilomine
5078,Dilor-G
5079,Dilotab II
5080,Dilt-XR
5081,Diltia XT
5082,Diltiazem
5083,Diltiazem Hydrochloride CD
5084,Diltiazem Hydrochloride SR
5085,Diltiazem Hydrochloride XR
5086,Diltiazem Hydrochloride XT
5087,Diltiazem / enalapril
5088,Diltzac
5089,Dimacol
5090,Dimaphen
5091,Dimaphen DM
5092,Dimaphen Elixir
5093,Dimenhydrinate
5094,Dimercaprol
5095,Dimercaptosuccinic acid
5096,Dimetabs
5097,Dimetane Decongestant
5098,Dimetane DX
5099,Dimetane Extentab
5100,Dimetapp Allergy
5101,Dimetapp Children's Cold & Allergy
5102,Dimetapp Children's Cold & Chest Congestion
5103,Dimetapp Children's Cold & Cough
5104,Dimetapp Children's Long Acting Cough Plus Cold
5105,Dimetapp Children's Multi-Symptom Cold & Flu
5106,Dimetapp Children's Multi-Symptom Cold & Flu (old formulation)
5107,Dimetapp Children's Multi-Symptom Cold Relief Dye-Free
5108,Dimetapp Children's ND Non-Drowsy Allergy
5109,Dimetapp Children's Nighttime Cold & Congestion
5110,Dimetapp Children's Nighttime Flu
5111,Dimetapp DM
5112,Dimetapp Elixir
5113,Dimetapp Toddler's Drops Decongestant
5114,Dimetapp Toddler's Drops Decongestant Plus Cough
5115,Dimethicone topical
5116,Dimethicone / triamcinolone topical
5117,Dimethicone / zinc oxide topical
5118,Dimethyl fumarate
5119,Dimethyl sulfoxide
5120,Dinate
5121,Dinoprostone topical
5122,Dinutuximab
5123,Diocto
5124,Diocto-C
5125,Diocto-K Plus
5126,Dioctocal
5127,Dioctolose
5128,Dioctosoftez
5129,Dioctyn
5130,Dioeze
5131,Dionex
5132,Diosmiplex
5133,Diosmiplex / hydrocortisone / pramoxine topical
5134,Dioval 40
5135,Dioval XX
5136,Diovan
5137,Diovan HCT
5138,Dipentum
5139,Diphedryl
5140,Diphen
5141,Diphen AF
5142,Diphen Cough
5143,Diphenadryl
5144,Diphendryl
5145,Diphenhist
5146,Diphenhydramine
5147,Diphenhydramine topical
5148,Diphenhydramine / guaifenesin
5149,Diphenhydramine / hydrocodone / phenylephrine
5150,Diphenhydramine / hydrocortisone topical
5151,Diphenhydramine / ibuprofen
5152,Diphenhydramine / magnesium salicylate
5153,Diphenhydramine / naproxen
5154,Diphenhydramine / phenylephrine
5155,Diphenhydramine / pseudoephedrine
5156,Diphenmax
5157,Diphenmax D
5158,Diphentann-D
5159,Diphenydramine Quick Melt
5160,Diphenyl
5161,Diphenylin
5162,Diphtheria and Tetanus Toxoids Adsorbed (for Pediatric Use) (DT)
5163,"Diphtheria and tetanus toxoids / pertussis, acellular"
5164,"Diphtheria toxoid / haemophilus b conjugate (prp-omp) vaccine / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
5165,"Diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
5166,"Diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
5167,"Diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
5168,"Diphtheria toxoid / pertussis, acellular / tetanus toxoid"
5169,Diphtheria toxoid / tetanus toxoid
5170,Dipivefrin ophthalmic
5171,Diprivan
5172,Diprolene
5173,Diprolene AF
5174,Diprosone
5175,Dipyridamole
5176,Diquinol
5177,Dirithromycin
5178,Diroximel fumarate
5179,Disalcid
5180,DisCoVisc
5181,Disney Winnie the Pooh Complete
5182,Disney Winnie the Pooh Gummies
5183,Disney Winnie the Pooh with Extra C
5184,Disobrom
5185,Disofenin
5186,Disophrol
5187,Disopyramide
5188,DisperMox
5189,Disposable Enema
5190,Disprol Paracetamol
5191,Disprol Soluble Paracetamol
5192,Disulfiram
5193,Ditropan
5194,Ditropan XL
5195,Ditussin-HC
5196,Diucardin
5197,Diupres-250
5198,Diupres-500
5199,Diurese
5200,Diuretic Ap-Es
5201,Diurex
5202,Diurex Aquagels
5203,Diurex Max
5204,Diurex Maximum Relief Water Caps
5205,Diurex Ultra
5206,Diurex Water Capsules
5207,Diuril
5208,Diuril Sodium
5209,Diutensen-R
5210,Divalproex sodium
5211,Divigel
5212,Divista
5213,Dixaphedrine
5214,Dizac
5215,DM-PE-Chlor
5216,DMax
5217,DMax Pediatric
5218,DMax Pediatric Drops
5219,DMax Syrup
5220,DMH
5221,DML Facial
5222,DML Forte
5223,DML Moisture Lotion
5224,DMSA
5225,Doak Oil Forte
5226,Doak Tar
5227,Doak Tar Oil
5228,Doan's Pills
5229,Doans Pills Extra Strength
5230,Doans PM
5231,Dobutamine
5232,Dobutrex
5233,Doc-Q-Lace
5234,Doc-Q-Lax
5235,Docefrez
5236,Docetaxel
5237,Docosanol topical
5238,Docosavit
5239,Doctar
5240,Docu
5241,Docu Soft
5242,Docu Soft Plus
5243,Docucal
5244,Doculase
5245,Doculax
5246,Doculax Plus
5247,Docuprene
5248,Docusate
5249,Docusate / ferrous fumarate
5250,Docusate / senna
5251,Docusil
5252,Docusoft S
5253,DocuSol
5254,DocuSol Kids
5255,Docusol Plus
5256,Docuzen
5257,Dofetilide
5258,Dofus
5259,Dojolvi
5260,DOK
5261,Dok Plus
5262,Dolacet
5263,Dolagesic
5264,Dolasetron
5265,Dolgic
5266,Dolgic LQ
5267,Dolgic Plus
5268,Doliprane
5269,Doliprane Adultes
5270,Doliprane Sans Sucre
5271,Dolishale
5272,Dolitabs
5273,Dolko
5274,Dolko Enfants
5275,Dolmar
5276,Dolobid
5277,Dologen
5278,Dologen 325
5279,Dologesic
5280,Dologesic DF
5281,Dologesic NF
5282,Dolomite
5283,Dolono
5284,Dolono Infant
5285,Dolophine
5286,Dolorac
5287,Doloracin Rx
5288,Doloral
5289,Doloral Sirop
5290,Dolorex
5291,Dolotec
5292,Dolotic
5293,Dolotranz
5294,Dolutegravir
5295,Dolutegravir / lamivudine
5296,Dolutegravir / rilpivirine
5297,Domeboro
5298,Domeboro Otic
5299,Donatussin
5300,Donatussin DC
5301,Donatussin DM
5302,Donatussin DM Drops
5303,Donatussin DM Suspension
5304,Donatussin DM Syrup
5305,Donatussin Drops
5306,Donatussin MAX
5307,Donepezil
5308,Donepezil / memantine
5309,Donnagel
5310,Donnamar
5311,Donnaphen
5312,Donnapine
5313,Donnatal
5314,Donnatal Extentabs
5315,Donnazyme
5316,Dopamine
5317,Dopar
5318,Dopram
5319,Doptelet
5320,Doral
5321,Doravirine
5322,Doravirine / lamivudine / tenofovir
5323,Dorcol Childrens Cough
5324,Doribax
5325,Doripenem
5326,Dormin
5327,Dornase alfa
5328,Doryx
5329,Doryx MPC
5330,Dorzolamide ophthalmic
5331,Dorzolamide / timolol ophthalmic
5332,DOS
5333,Dosaflex
5334,Dosoquin
5335,Doss-Relief
5336,Dostarlimab
5337,Dostinex
5338,Dotarem
5339,Dothelle DHA
5340,Dotti
5341,Double-Tussin DM
5342,Dovato
5343,Dovobet
5344,Dovonex
5345,Doxadura
5346,Doxapram
5347,Doxazosin
5348,Doxepin
5349,Doxepin topical
5350,Doxercalciferol
5351,Doxidan
5352,Doxidan Tablet
5353,Doxil
5354,Doxorubicin
5355,Doxorubicin liposomal
5356,Doxy 100
5357,Doxy 200
5358,Doxy-Caps
5359,Doxy-D
5360,Doxy-Lemmon
5361,Doxycycline
5362,Doxycycline topical
5363,Doxycycline / omega-3 polyunsaturated fatty acids
5364,Doxycycline / salicylic acid topical
5365,Doxylamine
5366,Doxylamine / phenylephrine
5367,Doxylamine / pseudoephedrine
5368,Doxylamine / pyridoxine
5369,Doxytex
5370,DPH
5371,Dr Caldwell Laxative
5372,Dr Scholl's Callus Removers
5373,Dr Scholl's Clear Away Wart Remover
5374,Dr Scholl's Corn Removers
5375,Dr Scholl's Corn Removers Extra Thick
5376,Dr Scholl's Corn Removers Small
5377,Dr Scholl's Corn Removers Ultra-Thin
5378,Dr Scholl's Corn / Callous Remover
5379,Dr Scholl's Corn / Callus Remover
5380,Dr Scholl's Cracked Heel Relief
5381,Dr Scholl's Essentials Cracked Skin Repair
5382,Dr Scholl's Fungal Nail Management Kit
5383,Dr Scholl's Odor Destroyers Sport Spray
5384,Dr Scholl's OneStep Callus Removers
5385,Dr Scholl's OneStep Corn Removers
5386,Dr Scholl's Zino Soft Corn Remover
5387,Dr Smith's Adult Barrier
5388,Dr Smith's Diaper
5389,Dr Smith's Diaper Rash
5390,Dr Smith's Rash-N-All
5391,Dr Smith's Rash+Skin
5392,Dramamine
5393,Dramamine All Day Less Drowsy
5394,Dramamine Chewable
5395,Dramamine for Kids
5396,Dramamine II
5397,Dramamine Less Drowsy
5398,Dramamine Non-Drowsy Naturals
5399,Dramamine Original Formula
5400,Dramanate
5401,Dramoject
5402,Drax Exametazime
5403,Drexophed SR
5404,Dried Factor VIII Fraction Type 8Y
5405,DriHist
5406,DriHist SR
5407,Driminate
5408,Driminate II
5409,DripDrop
5410,Drisdol
5411,Dristan 12 Hour Nasal Spray
5412,Dristan Chesty Cough
5413,Dristan Chesty Cough Guaiphenesin
5414,Dristan Cold Multi Symptom Formula
5415,Dristan Cold Non-Drowsy
5416,Dristan DM
5417,Dristan Sinus
5418,Dritho-Scalp
5419,Drithocreme
5420,Drituss DM
5421,Drituss G
5422,Drituss GP
5423,Drituss HD
5424,Drixomed
5425,Drixoral Cold and Allergy
5426,Drixoral Cough & Congestion Liquid Caps
5427,Drixoral Cough / Sore Throat
5428,Drixoral Decongestant Non-Drowsy
5429,Drizalma Sprinkle
5430,Drize
5431,Drocon-CS
5432,Dronabinol
5433,Dronedarone
5434,Droperidol
5435,Drospirenone
5436,Drospirenone / estetrol
5437,Drospirenone / estradiol
5438,Drospirenone / ethinyl estradiol
5439,Drospirenone / ethinyl estradiol / levomefolate calcium
5440,Drotic
5441,Drotrecogin alfa
5442,DroTuss-CP
5443,Droxia
5444,Droxidopa
5445,Drs Cream
5446,Dry Cough
5447,Dry Eye Omega Benefits
5448,Dry Eye Relief
5449,Dry Mouth Mouthwash
5450,DryMax AF
5451,Dryphen
5452,Drysec
5453,Drysol
5454,Dryvax
5455,DSMC Compound Plain
5456,DSS
5457,DSS Plus
5458,Dsuvia
5459,DTIC-Dome
5460,Duac
5461,Duaklir Pressair
5462,Dual Action Complete
5463,Dual-Action Acid Controller Complete
5464,Dualvit OB
5465,Duatrol SR
5466,Duavee
5467,Ducodyl
5468,Duet
5469,Duet Chewable
5470,Duet DHA
5471,Duet DHA Balanced
5472,Duet DHA Complete
5473,Duet DHA EC
5474,Duet DHA with Ferrazone
5475,Duetact
5476,DuetDHA 400
5477,DuetDHA 400ec
5478,DuetDHA 430
5479,DuetDHA 430ec
5480,DuetDHA Balanced
5481,Duexis
5482,Dulaglutide
5483,Dulcogen
5484,Dulcolax
5485,Dulcolax Laxative
5486,Dulcolax Milk of Magnesia
5487,Dulcolax Stool Softener
5488,Duleek-DP
5489,Dulera
5490,Dull-C
5491,Duloxetine
5492,Duo Fusion
5493,Duo-Vil
5494,Duobrii
5495,Duocet
5496,DuoDote
5497,Duofilm
5498,Duogesic
5499,Duohist DH
5500,Duolube
5501,Duomax
5502,Duomine
5503,DuoNeb
5504,Duopa
5505,Duoplant
5506,Duospore
5507,Duotan
5508,Duotan DM
5509,Duotan PD
5510,DuoVisc
5511,Duphalac
5512,Dupilumab
5513,Dupixent
5514,Dur-Tann DM
5515,Dur-Tann Forte
5516,Dura-Estrin
5517,Dura-Ron
5518,Dura-Ron DM
5519,Dura-Tap / PD
5520,Durable Barr
5521,Durabolin
5522,Durabolin 50
5523,Durachol
5524,Duraclon
5525,DurAct
5526,Duract Max Strength Cough
5527,Duradal HD
5528,DuraDEX
5529,DuraDEX Forte
5530,Duradrin
5531,Duradryl
5532,Duradryl Chewable
5533,Duradryl JR
5534,Duradryl SR
5535,Duradyne DHC
5536,Durafed
5537,Duraflex Comfort
5538,Duraflu
5539,Duraganidin
5540,Duraganidin NR
5541,Duragen
5542,Duragesic
5543,DuraHist D
5544,Durahist PE
5545,Duralex
5546,Duralone
5547,Duralutin
5548,DuraMAX
5549,Duramist Plus
5550,Duramorph
5551,Duramorph PF
5552,Duraphen 1000
5553,Duraphen DM
5554,Duraphen Forte
5555,Duraphen II
5556,Duraphen II DM
5557,DuraPrep
5558,Durasal
5559,Durasal II
5560,DuraTan DM
5561,DuraTan Forte
5562,DuraTan PE
5563,Duratears Naturale
5564,Duratest
5565,Durathate 200
5566,Duration
5567,Duratuss
5568,Duratuss AC 12
5569,Duratuss CS
5570,Duratuss DA
5571,Duratuss DM
5572,Duratuss DM 12
5573,Duratuss G
5574,Duratuss GP
5575,Duratuss GP (old formulation)
5576,Duratuss HD
5577,Duratuss PE
5578,Duratuss-A
5579,Duravent
5580,Duravent DA
5581,Duravent DM
5582,Duravent DPB
5583,Duravent PE
5584,Duraxin
5585,Durezol
5586,Duricef
5587,Durlaza
5588,Duro-Tuss Cough Lozenges
5589,Durolane
5590,Durvalumab
5591,Durysta
5592,Dutasteride
5593,Dutasteride / tamsulosin
5594,Dutoprol
5595,Duvelisib
5596,Duvoid
5597,Duzallo
5598,Dvorah
5599,Dxevo
5600,Dy-G
5601,Dyanavel XR
5602,Dyazide
5603,Dycill
5604,Dyclone
5605,Dyclonine topical
5606,Dyclopro
5607,Dyfilin GG
5608,Dyflex-G
5609,Dygase
5610,Dyline GG
5611,Dyloject
5612,Dymadon
5613,Dymenate
5614,Dymista
5615,Dyna-Hex
5616,Dynabac
5617,Dynabac D5-Pak
5618,Dynacin
5619,Dynacirc
5620,DynaCirc CR
5621,Dynahist ER
5622,Dynahist-ER Pediatric
5623,Dynapen
5624,Dynatuss
5625,Dynatuss EX
5626,Dynatuss HC
5627,Dynex
5628,Dynex HD
5629,Dynex LA
5630,Dynex VR
5631,Dyphyl GG
5632,Dyphyllin-GG
5633,Dyphylline GG
5634,Dyphylline GG ES
5635,Dyphylline / guaifenesin
5636,Dyrenium
5637,Dysport
5638,Dytan
5639,Dytan-AT
5640,Dytan-CD
5641,Dytan-CS
5642,Dytan-D
5643,Dytan-DM
5644,Dytan-HC
5645,Dytuss
5646,Dyzbac
5647,E Pherol
5648,E-400 Clear
5649,E-600
5650,E-Gems
5651,E-Max-1000
5652,E-Mycin
5653,E-R-O
5654,E-Solve 2
5655,E-Z AC
5656,E-Z Disk
5657,E-Z Dose Kit with Polibar Plus
5658,E-Z Paste
5659,E-Z-Cat
5660,E-Z-Cat Dry
5661,E-Z-Gas II
5662,E-Z-HD
5663,E-Z-Paque
5664,E.E.S. Granules
5665,E.E.S.-200
5666,E.E.S.-400
5667,E.E.S.-400 Filmtab
5668,Ear Wax Remover
5669,Earsol-HC
5670,Easprin
5671,EC-Naprosyn
5672,Ecallantide
5673,Ecee Plus
5674,Echinacea
5675,Echothiophate iodide ophthalmic
5676,Echotuss-HC
5677,Econazole topical
5678,Econopred
5679,Econopred Plus
5680,EContra EZ
5681,EContra One-Step
5682,Ecotrin
5683,Ecotrin Adult Low Strength
5684,Ecotrin Maximum Strength
5685,Ecoza
5686,Ecpirin
5687,Eculizumab
5688,Eczema Cream
5689,Eczemin
5690,Ed A-Hist
5691,Ed A-Hist DM
5692,Ed A-Hist LA
5693,Ed A-Hist PSE
5694,ED Bron GP
5695,Ed Chlor Ped Jr.
5696,Ed Chlor-Tan
5697,Ed ChlorPed
5698,Ed ChlorPed D
5699,Ed Cyte F
5700,ED DM
5701,Ed K+10
5702,Ed-APAP
5703,Ed-Chlortan
5704,Ed-Flex
5705,Ed-Spaz
5706,Ed-TLC
5707,Ed-Tuss HC
5708,Edaravone
5709,Edarbi
5710,Edarbyclor
5711,Edecrin
5712,Edetate calcium disodium
5713,Edex
5714,Edex Refill
5715,Edge OB
5716,Edluar
5717,Edoxaban
5718,Edrophonium
5719,Edurant
5720,EEMT
5721,EEMT DS
5722,EEMT HS
5723,Efalizumab
5724,Efasin
5725,Efasin-HD
5726,Efasin-HD Plus
5727,Efavirenz
5728,Efavirenz / emtricitabine / tenofovir
5729,Efavirenz / lamivudine / tenofovir
5730,Effective Strength Cough Syrup
5731,Effer-K
5732,Effer-K 10
5733,Effer-K 20
5734,Efferalgan
5735,Efferalgan Pediatrique
5736,Efferalganodis
5737,Effervescent Pain Relief
5738,Effervescent Potassium
5739,Effervescent Potassium / Chloride
5740,Effexor
5741,Effexor XR
5742,Effient
5743,Efidac
5744,Efinaconazole topical
5745,Eflone
5746,Eflornithine topical
5747,Efodine
5748,Efudex
5749,Efudex Occlusion Pack
5750,Egaten
5751,Egrifta
5752,Eha Lotion
5753,Ela-Max
5754,Ela-Max 5
5755,Elagolix
5756,Elagolix / estradiol / norethindrone
5757,Elapegademase
5758,Elaprase
5759,Elavil
5760,Elbasvir / grazoprevir
5761,Elcys
5762,Eldepryl
5763,Elderberry
5764,Eldercaps
5765,Eldertonic
5766,Eldopaque
5767,Eldopaque Forte
5768,Eldoquin
5769,Eldoquin Forte
5770,Electrolyte
5771,Electrolyte replacement solutions
5772,Elelyso
5773,Elemental Iron
5774,Elemental Iron-90
5775,Elepsia XR
5776,Elestat
5777,Elestrin
5778,Eletone
5779,Eletriptan
5780,Elexacaftor / ivacaftor / tezacaftor
5781,Elfolate
5782,Elidel
5783,Elifemme
5784,Eligard
5785,Eligen B12
5786,Eliglustat
5787,Elimite
5788,Elinest
5789,Eliphos
5790,Eliquis
5791,Elite OB 400
5792,Elite OB with DHA
5793,Elitek
5794,Elixiral
5795,Elixophyllin
5796,ElixSure Congestion
5797,ElixSure Cough
5798,Elixsure Decongestant
5799,Elixsure Fever / Pain
5800,Ella
5801,Ellence
5802,Elleste Solo
5803,Ellis Tonic Sherry
5804,Ellura
5805,Ellzia Pak
5806,Elmiron
5807,Elocon
5808,Eloctate
5809,Elon Barrier Protectant
5810,Elon Dual Defense Anti-Fungal Formula
5811,Elon Herbal Foot Cream
5812,Elon Matrix 5000 Complete
5813,Elosulfase alfa
5814,Elotuzumab
5815,Eloxatin
5816,Elppa CoQ10
5817,Elppa Daily
5818,Elspar
5819,Elta
5820,Elta Lite
5821,Elta Seal Moisture Barrier
5822,Elta Seal Skin Protectant
5823,Elta Tar
5824,Eltrombopag
5825,Eltroxin
5826,EluRyng
5827,Eluxadoline
5828,Elvitegravir
5829,Elyxyb
5830,Elzonris
5831,Emadine
5832,Emagrin
5833,Emagrin Forte
5834,Emapalumab
5835,Embeda
5836,Embeline
5837,Embeline E
5838,Emblon
5839,Embrex 600
5840,Emcin Clear
5841,Emcyt
5842,Emechek Anti-Nauseant
5843,Emedastine ophthalmic
5844,Emend
5845,Emend for Injection
5846,Emergen-C
5847,Emergen-C Cranberry-Pomegranate
5848,Emerphed
5849,Emetrol
5850,Emetrol for Nausea
5851,"Emetrol, Cherry"
5852,"Emetrol, Lemon-Mint"
5853,Emflaza
5854,Emgality
5855,Emgel
5856,Emicizumab
5857,Eminase
5858,Emko
5859,Emla
5860,Emla Anesthetic Disc
5861,Emollients topical
5862,Emoquette
5863,Empagliflozin
5864,Empagliflozin / linagliptin
5865,Empagliflozin / linagliptin / metformin
5866,Empagliflozin / metformin
5867,Empaveli
5868,Empirin
5869,Empirin with Codeine
5870,Empliciti
5871,Empro
5872,Emsam
5873,Emtet-500
5874,Emtricitabine
5875,Emtricitabine / lopinavir / ritonavir / tenofovir
5876,Emtricitabine / nelfinavir / tenofovir
5877,Emtricitabine / rilpivirine / tenofovir
5878,Emtricitabine / rilpivirine / tenofovir alafenamide
5879,Emtricitabine / tenofovir
5880,Emtricitabine / tenofovir alafenamide
5881,Emtriva
5882,Emulsion SB
5883,Emulsoil
5884,Emverm
5885,Ena
5886,Enablex
5887,Enalapril
5888,Enalapril / felodipine
5889,Enalapril / hydrochlorothiazide
5890,Enalaprilat
5891,Enasidenib
5892,Enbrace HR
5893,Enbrel
5894,Encare
5895,Encora
5896,Encorafenib
5897,Encort
5898,Encron-10
5899,End Lice Liquid
5900,EndaCof Drops
5901,Endacof HC
5902,EndaCof PD Drops
5903,Endacof XP
5904,EndaCof-AC
5905,Endacof-C
5906,EndaCof-DC
5907,EndaCof-DH
5908,EndaCof-DM
5909,EndaCof-PD
5910,EndaCof-Plus
5911,EndaCof-Tab
5912,Endacon
5913,Endacon DM
5914,Endafed
5915,Endagen-HD
5916,Endal
5917,Endal CD
5918,Endal CD (old formulation)
5919,Endal HD
5920,Endal-HD Plus
5921,Endari
5922,Endep
5923,Endocet
5924,Endocodone
5925,Endodan
5926,Endolor
5927,Endometrin
5928,Endosol Extra
5929,Endotuss-HD
5930,Endoxcin
5931,Endur-acin
5932,Enduron
5933,Enduronyl
5934,Enduronyl Forte
5935,Enecat
5936,Enemeez Mini
5937,Enemeez Plus
5938,Enerjets
5939,Eneset 2
5940,Enfalyte
5941,Enfamil D-Vi-Sol
5942,Enfolast
5943,Enfolast-N
5944,Enfortumab vedotin
5945,Enfuvirtide
5946,Engerix-B
5947,Engerix-B Pediatric
5948,Enhancer
5949,Enhertu
5950,Enjuvia
5951,Enlon
5952,EnLyte
5953,Enomine LA
5954,Enoxacin
5955,Enoxaparin
5956,Enplus-HD
5957,Enpresse
5958,Enskyce
5959,Enspryng
5960,Enstilar
5961,Entacapone
5962,Entaprin
5963,Entecavir
5964,Entercote
5965,Entereg
5966,Entero VU
5967,Entero-H
5968,Entex
5969,Entex ER
5970,Entex HC
5971,Entex LA
5972,Entex LQ
5973,Entex Pac
5974,Entex PSE
5975,Entex T
5976,Entocort EC
5977,Entre-B
5978,Entre-Cough
5979,Entre-S
5980,Entrectinib
5981,Entresto
5982,Entrobar
5983,Entroease
5984,ENTsol
5985,Entuss
5986,Entuss-D
5987,Entuss-D JR
5988,Entuss-D Liquid
5989,Entyvio
5990,Enulose
5991,Envarsus XR
5992,Enzalutamide
5993,Enzoclear Foam
5994,Enzone
5995,Eovist
5996,EPA Fish Oil
5997,Epaned
5998,Epanova
5999,Epclusa
6000,Ephed Plus
6001,Ephedrine
6002,Ephedrine / guaifenesin
6003,Ephensin-LA
6004,Epi EZ Pen
6005,EpiCeram
6006,Epicyn
6007,Epidiolex
6008,Epidrin
6009,Epiduo
6010,Epiduo Forte
6011,Epiflur
6012,Epifoam
6013,Epifrin
6014,Epiklor
6015,Epilyt
6016,Epimide 50
6017,Epinal
6018,Epinastine ophthalmic
6019,Epinephrine
6020,Epinephrine ophthalmic
6021,Epinephrine topical
6022,Epinephrine / lidocaine
6023,Epinephrine / prilocaine
6024,EpiPen
6025,EpiPen 2-Pak
6026,EpiPen Auto-Injector
6027,EpiPen Jr
6028,EpiPen JR 2-Pak
6029,EpiPen JR Auto-Injector
6030,Epipram
6031,EpiQuin Micro
6032,Epirubicin
6033,EPIsnap
6034,Epitol
6035,Epivir
6036,Epivir-HBV
6037,Eplerenone
6038,Epoetin alfa
6039,Epoetin beta-methoxy polyethylene glycol
6040,Epogen
6041,Epoprostenol
6042,Eppy / N
6043,Eprontia
6044,Eprosartan
6045,Eprosartan / hydrochlorothiazide
6046,Epsom Salt
6047,Eptifibatide
6048,Eptinezumab
6049,Epzicom
6050,Equalactin
6051,Equaline Acid Reducer
